sample_name,sample_path,condition,replicate,sample_type
pacbio_rbfox2_control_chr22,LRP2_lite/sample_data/230801_pacbio_rbfox2_control_chr22.flnc.bam,control,rep1,RNA
pacbio_rbfox2_RB-G5_chr22,LRP2_lite/sample_data/230801_pacbio_rbfox2_RB-G5_chr22.flnc.bam,treatment,rep1,RNA
